panel,method,city,budget,metric,value,status,n,source,note
alignment_shortcuts:edit_status_xor,response,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:variant_id_matcher,response,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:constant,full,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:csi_only,full,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:map_only,full,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:scene_id_only,full,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:edit_status_xor,full,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:variant_id_matcher,full,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:constant,full,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:csi_only,full,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:map_only,full,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:scene_id_only,full,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:edit_status_xor,full,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:variant_id_matcher,full,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
response_controls,endpoint,target-boston,,probe_copy_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,endpoint,target-boston,,probe_without_map_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,endpoint,target-boston,,probe_edit_only_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,endpoint,target-boston,,probe_csi_only_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,endpoint,target-boston,,probe_oracle_x_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,endpoint,target-boston,,native_no_action_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,endpoint,target-boston,,native_action_swap_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,endpoint,target-seattle,,probe_copy_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,endpoint,target-seattle,,probe_without_map_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,endpoint,target-seattle,,probe_edit_only_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,endpoint,target-seattle,,probe_csi_only_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,endpoint,target-seattle,,probe_oracle_x_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,endpoint,target-seattle,,native_no_action_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,endpoint,target-seattle,,native_action_swap_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,alignment,target-boston,,probe_copy_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,alignment,target-boston,,probe_without_map_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,alignment,target-boston,,probe_edit_only_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,alignment,target-boston,,probe_csi_only_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,alignment,target-boston,,probe_oracle_x_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,alignment,target-boston,,native_no_action_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,alignment,target-boston,,native_action_swap_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,alignment,target-seattle,,probe_copy_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,alignment,target-seattle,,probe_without_map_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,alignment,target-seattle,,probe_edit_only_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,alignment,target-seattle,,probe_csi_only_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,alignment,target-seattle,,probe_oracle_x_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,alignment,target-seattle,,native_no_action_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,alignment,target-seattle,,native_action_swap_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,response,target-boston,,probe_copy_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,response,target-boston,,probe_without_map_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,response,target-boston,,probe_edit_only_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,response,target-boston,,probe_csi_only_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,response,target-boston,,probe_oracle_x_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,response,target-boston,,native_no_action_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,response,target-boston,,native_action_swap_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,response,target-seattle,,probe_copy_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,response,target-seattle,,probe_without_map_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,response,target-seattle,,probe_edit_only_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,response,target-seattle,,probe_csi_only_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,response,target-seattle,,probe_oracle_x_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,response,target-seattle,,native_no_action_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,response,target-seattle,,native_action_swap_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,full,target-boston,,probe_copy_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,full,target-boston,,probe_without_map_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,full,target-boston,,probe_edit_only_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,full,target-boston,,probe_csi_only_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,full,target-boston,,probe_oracle_x_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,full,target-boston,,native_no_action_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,full,target-boston,,native_action_swap_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,full,target-seattle,,probe_copy_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,full,target-seattle,,probe_without_map_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,full,target-seattle,,probe_edit_only_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,full,target-seattle,,probe_csi_only_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,full,target-seattle,,probe_oracle_x_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,full,target-seattle,,native_no_action_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response_controls,full,target-seattle,,native_action_swap_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
shuffled_pair,,,,alignment_gain,,MISSING,,controls/shuffled_pair/gate.json,
shuffled_pair,,,,shuffled_alignment_gain,,MISSING,,controls/shuffled_pair/gate.json,
shuffled_pair,,,,shuffled_suppression_interval,,MISSING,,controls/shuffled_pair/gate.json,
shuffled_pair,,,,response_gain,,MISSING,,controls/shuffled_pair/gate.json,
shuffled_pair,,,,shuffled_response_gain,,MISSING,,controls/shuffled_pair/gate.json,
shuffled_pair,,,,shuffled_response_suppression_interval,,MISSING,,controls/shuffled_pair/gate.json,
coverage,,,,evaluation,,MISSING,,"evaluation/cgs_per_bank.csv, evaluation/response_per_bank.csv, evaluation/compatibility_route_distributions.csv, evaluation/alignment_shortcut_baselines.csv",A complete stage receipt is absent; some rows alone cannot establish coverage.
coverage,,,,shuffled_pair,,MISSING,,controls/shuffled_pair/gate.json,A complete stage receipt is absent; some rows alone cannot establish coverage.
