panel,method,city,budget,metric,value,status,n,source,note
localization,Wi-GATr,target-seattle,32,mean_bank_median_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,Wi-GATr,target-seattle,32,mean_bank_p90_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,Wi-GATr,target-seattle,128,mean_bank_median_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,Wi-GATr,target-seattle,128,mean_bank_p90_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,PMNet,target-boston,0,mean_bank_median_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,PMNet,target-boston,0,mean_bank_p90_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,PMNet,target-boston,8,mean_bank_median_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,PMNet,target-boston,8,mean_bank_p90_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,PMNet,target-boston,32,mean_bank_median_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,PMNet,target-boston,32,mean_bank_p90_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,PMNet,target-boston,128,mean_bank_median_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,PMNet,target-boston,128,mean_bank_p90_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,PMNet,target-seattle,0,mean_bank_median_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,PMNet,target-seattle,0,mean_bank_p90_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,PMNet,target-seattle,8,mean_bank_median_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,PMNet,target-seattle,8,mean_bank_p90_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,PMNet,target-seattle,32,mean_bank_median_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,PMNet,target-seattle,32,mean_bank_p90_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,PMNet,target-seattle,128,mean_bank_median_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,PMNet,target-seattle,128,mean_bank_p90_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
